id,title,year,type,rated,runtime_min,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,rt_score,metacritic_score,mcu_phase,universe,decade,age_years,is_animated,is_tv_series,is_mcu_canon,tmdb_genres,tmdb_rating,tmdb_votes,popularity,top5_cast,directors,producers,composer,tmdb_keywords,production_countries,spoken_languages,episode_count,season_count,status,tagline,revenue_log,budget_log,box_office_log,document,cast_count,top_actor,IMDb,Metacritic,Rotten Tomatoes,TMDB
30,Man-Thing,2005,movie,R,97.0,"Action, Adventure, Horror",Brett Leonard,"Steve Gerber, Hans Rodionoff","Jack Thompson, Matthew Le Nevez, Steve Bastoni","Agents of an oil tycoon vanish while exploring a swamp marked for drilling. The local sheriff investigates and faces a Seminole legend come to life: Man-Thing, a shambling swamp-monster whose touch burns those who feel fear.",English,"United States, Germany, Australia",Unknown,4.1,8.882946799288174,14.0,64.0,Pre-MCU,Pre-MCU,2000s,20,0,0,0,"Action, Horror, Adventure, Science Fiction, Romance",4.315,5.41610040220442,1.2841,"Matthew Le Nevez, Rachael Taylor, Jack Thompson, Rawiri Paratene, Alex O'Loughlin",Brett Leonard,"Avi Arad, Scott Karol, Christopher Petzel",Roger Mason,"hero, monster, superhero, swamp, based on comic",United States of America,English,0.0,0.0,Released,The nature of fear,13.931636220937005,15.424948670398354,19.193787894917058,"Title: Man-Thing
Year: 2005
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: R
Runtime: 97 minutes
Genre: Action, Adventure, Horror
Director: Brett Leonard
Writer: Steve Gerber, Hans Rodionoff
Cast: Jack Thompson, Matthew Le Nevez, Steve Bastoni
Top 5 Cast: Matthew Le Nevez, Rachael Taylor, Jack Thompson, Rawiri Paratene, Alex O'Loughlin
Plot: Agents of an oil tycoon vanish while exploring a swamp marked for drilling. The local sheriff investigates and faces a Seminole legend come to life: Man-Thing, a shambling swamp-monster whose touch burns those who feel fear.
Tagline: The nature of fear
Keywords: hero, monster, superhero, swamp, based on comic
IMDb Rating: 4.1
Rotten Tomatoes: 14%
Metacritic: None
TMDB Rating: 4.315
Box Office: N/A
Budget: 5000000
Revenue: 1123136
Awards: N/A
Collection: N/A
Country: United States, Germany, Australia
Language: English",15.0,Matthew Le Nevez,4.1,6.004166666666666,1.4,4.315
31,Fantastic Four,2005,movie,PG-13,106.0,"Action, Adventure, Fantasy",Tim Story,"Mark Frost, Michael France, Stan Lee","Ioan Gruffudd, Michael Chiklis, Chris Evans","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",English,"Germany, United States, Canada",4 wins & 13 nominations total,5.7,12.830255525623583,28.0,40.0,Pre-MCU,Pre-MCU,2000s,20,0,0,0,"Action, Fantasy, Science Fiction",5.8,9.211140052146748,7.3256,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon",Tim Story,"Bernd Eichinger, Avi Arad, Ralph Winter",John Ottman,"mask, friendship, marriage proposal, fire, sibling relationship, flying, radiation, missile, superhero, dna","Germany, United States of America",English,0.0,0.0,Released,4 times the action. 4 times the adventure. 4 times the fantastic.,19.625261168639653,18.420680753952364,18.85697298232002,"Title: Fantastic Four
Year: 2005
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: PG-13
Runtime: 106 minutes
Genre: Action, Adventure, Fantasy
Director: Tim Story
Writer: Mark Frost, Michael France, Stan Lee
Cast: Ioan Gruffudd, Michael Chiklis, Chris Evans
Top 5 Cast: Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon
Plot: A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.
Tagline: 4 times the action. 4 times the adventure. 4 times the fantastic.
Keywords: mask, friendship, marriage proposal, fire, sibling relationship, flying, radiation, missile, superhero, dna
IMDb Rating: 5.7
Rotten Tomatoes: 28%
Metacritic: 40/100
TMDB Rating: 5.8
Box Office: 154696080
Budget: 100000000
Revenue: 333535934
Awards: 4 wins & 13 nominations total
Collection: Fantastic Four Collection
Country: Germany, United States, Canada
Language: English",15.0,Ioan Gruffudd,5.7,4.0,2.8,5.8
32,"Blade: Trinity (released late 2004 in some regions, wide rollout through 2005)",2006,Unknown,Unknown,117.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.75,12.664111228245407,76.0,64.0,Pre-MCU,Pre-MCU,2000s,19,0,0,0,Unknown,6.745,8.745921121024347,8.1973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Blade: Trinity (released late 2004 in some regions, wide rollout through 2005)
Year: 2006
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: N/A
Rated: nan
Runtime: nan minutes
Genre: nan
Director: nan
Writer: nan
Cast: nan
Top 5 Cast: nan
Plot: nan
Tagline: nan
Keywords: nan
IMDb Rating: nan
Rotten Tomatoes: nan
Metacritic: nan
TMDB Rating: nan
Box Office: nan
Budget: nan
Revenue: nan
Awards: nan
Collection: nan
Country: nan
Language: nan",0.0,Unknown,6.564705882352942,6.004166666666666,6.603846153846154,6.554427350427351
33,X-Men: The Last Stand,2006,movie,PG-13,104.0,"Action, Adventure, Sci-Fi",Brett Ratner,"Simon Kinberg, Zak Penn","Patrick Stewart, Hugh Jackman, Halle Berry","The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",English,"United States, United Kingdom, Canada",7 wins & 40 nominations total,6.6,13.256159734922553,56.0,58.0,Pre-MCU,Fox / X-Men,2000s,19,0,0,0,"Adventure, Action, Science Fiction",6.423,9.249753374333018,0.4695,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen",Brett Ratner,"Lauren Shuler Donner, Ralph Winter, Avi Arad",John Powell,"superhero, mutant, based on comic, superhuman, beast, cyclops, aftercreditsstinger, dramatic",United States of America,English,0.0,0.0,Released,Take a stand.,19.94534380777439,19.162618093443648,19.272379462058243,"Title: X-Men: The Last Stand
Year: 2006
Universe: Fox / X-Men
MCU Phase: Pre-MCU
Type: movie
Rated: PG-13
Runtime: 104 minutes
Genre: Action, Adventure, Sci-Fi
Director: Brett Ratner
Writer: Simon Kinberg, Zak Penn
Cast: Patrick Stewart, Hugh Jackman, Halle Berry
Top 5 Cast: Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen
Plot: The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.
Tagline: Take a stand.
Keywords: superhero, mutant, based on comic, superhuman, beast, cyclops, aftercreditsstinger, dramatic
IMDb Rating: 6.6
Rotten Tomatoes: 56%
Metacritic: 58/100
TMDB Rating: 6.423
Box Office: 234362462
Budget: 210000000
Revenue: 459359555
Awards: 7 wins & 40 nominations total
Collection: X-Men Collection
Country: United States, United Kingdom, Canada
Language: English",15.0,Hugh Jackman,6.6,5.8,5.6,6.423
34,Ghost Rider,2007,movie,PG-13,110.0,"Action, Fantasy, Thriller",Mark Steven Johnson,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott",A motorcycle stuntman who sold his soul becomes a supernatural agent of vengeance.,English,"United States, Australia",1 win & 11 nominations total,5.3,12.495625467039249,28.0,35.0,Pre-MCU,Pre-MCU,2000s,18,0,0,0,"Thriller, Action, Fantasy",5.6,8.777555453213056,8.6893,"Nicolas Cage, Eva Mendes, Sam Elliott, Wes Bentley, Peter Fonda",Mark Steven Johnson,"Gary Foster, Avi Arad, Michael De Luca",Christopher Young,"dying and death, religion and supernatural, superhero, possession, devil's son, stunt, flame, stuntman, based on comic, soul selling",United States of America,English,0.0,0.0,Released,Long ago he made a deal to save someone he loved.,19.248089524220738,18.5159909328476,18.56739754944928,"Title: Ghost Rider
Year: 2007
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: PG-13
Runtime: 110 minutes
Genre: Action, Fantasy, Thriller
Director: Mark Steven Johnson
Writer: Mark Steven Johnson
Cast: Nicolas Cage, Eva Mendes, Sam Elliott
Top 5 Cast: Nicolas Cage, Eva Mendes, Sam Elliott, Wes Bentley, Peter Fonda
Plot: A motorcycle stuntman who sold his soul becomes a supernatural agent of vengeance.
Tagline: Long ago he made a deal to save someone he loved.
Keywords: dying and death, religion and supernatural, superhero, possession, devil's son, stunt, flame, stuntman, based on comic, soul selling
IMDb Rating: 5.3
Rotten Tomatoes: 28%
Metacritic: 35/100
TMDB Rating: 5.6
Box Office: 115802596
Budget: 110000000
Revenue: 228738393
Awards: 1 win & 11 nominations total
Collection: Ghost Rider Collection
Country: United States, Australia
Language: English",15.0,Nicolas Cage,5.3,3.5,2.8,5.6
35,Spider-Man 3,2007,movie,PG-13,139.0,"Action, Adventure, Sci-Fi",Sam Raimi,"Sam Raimi, Ivan Raimi, Alvin Sargent","Tobey Maguire, Kirsten Dunst, Topher Grace","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","English, French",United States,Nominated for 1 BAFTA Award4 wins & 44 nominations total,6.3,13.44741637628527,62.0,59.0,Pre-MCU,Sony / Spider-Man,2000s,18,0,0,0,"Action, Adventure, Science Fiction",6.463,9.632793693113202,18.0511,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace",Sam Raimi,"Avi Arad, Grant Curtis, Laura Ziskin",Christopher Young,"amnesia, dual identity, love of one's life, loss of loved one, forgiveness, hostility, superhero, sandstorm, spider, wretch",United States of America,"English, French",0.0,0.0,Released,The greatest battle lies within.,20.61231569953027,19.36847014676186,19.638652067219347,"Title: Spider-Man 3
Year: 2007
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: movie
Rated: PG-13
Runtime: 139 minutes
Genre: Action, Adventure, Sci-Fi
Director: Sam Raimi
Writer: Sam Raimi, Ivan Raimi, Alvin Sargent
Cast: Tobey Maguire, Kirsten Dunst, Topher Grace
Top 5 Cast: Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace
Plot: A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.
Tagline: The greatest battle lies within.
Keywords: amnesia, dual identity, love of one's life, loss of loved one, forgiveness, hostility, superhero, sandstorm, spider, wretch
IMDb Rating: 6.3
Rotten Tomatoes: 62%
Metacritic: 59/100
TMDB Rating: 6.463
Box Office: 338032318
Budget: 258000000
Revenue: 894983373
Awards: Nominated for 1 BAFTA Award4 wins & 44 nominations total
Collection: Spider-Man Collection
Country: United States
Language: English, French",15.0,Tobey Maguire,6.3,5.8999999999999995,6.2,6.463
36,Fantastic Four: Rise of the Silver Surfer,2007,movie,PG,92.0,"Action, Adventure, Fantasy",Tim Story,"Don Payne, Mark Frost, John Turman","Ioan Gruffudd, Jessica Alba, Chris Evans",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,"English, Japanese, Chinese, Arabic","United Kingdom, Germany, United States, Hong Kong, China, Thailand, Canada",3 wins & 17 nominations total,5.6,12.607275349151886,38.0,45.0,Pre-MCU,Pre-MCU,2000s,18,0,0,0,"Science Fiction, Adventure, Action",5.633,9.037771106624906,5.861,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon",Tim Story,"Avi Arad, Ralph Winter, Bernd Eichinger",John Ottman,"mask, surfboard, helicopter, fire, airplane, superhero, transformation, satellite, forest, resurrection","Germany, United Kingdom, United States of America","English, Japanese, Arabic, Mandarin",0.0,0.0,Released,Discover the secret of the Surfer.,19.525649891578034,18.683045016112164,18.69771941836039,"Title: Fantastic Four: Rise of the Silver Surfer
Year: 2007
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: PG
Runtime: 92 minutes
Genre: Action, Adventure, Fantasy
Director: Tim Story
Writer: Don Payne, Mark Frost, John Turman
Cast: Ioan Gruffudd, Jessica Alba, Chris Evans
Top 5 Cast: Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon
Plot: The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.
Tagline: Discover the secret of the Surfer.
Keywords: mask, surfboard, helicopter, fire, airplane, superhero, transformation, satellite, forest, resurrection
IMDb Rating: 5.6
Rotten Tomatoes: 38%
Metacritic: 45/100
TMDB Rating: 5.633
Box Office: 131921738
Budget: 130000000
Revenue: 301913131
Awards: 3 wins & 17 nominations total
Collection: Fantastic Four Collection
Country: United Kingdom, Germany, United States, Hong Kong, China, Thailand, Canada
Language: English, Japanese, Chinese, Arabic",15.0,Ioan Gruffudd,5.6,4.5,3.8,5.633
37,Iron Man,2008,movie,PG-13,126.0,"Action, Adventure, Sci-Fi",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada",Nominated for 2 Oscars. 24 wins & 73 nominations total,7.9,14.016967853066705,94.0,79.0,Phase 1,MCU,2000s,17,0,0,1,"Action, Science Fiction, Adventure",7.662,10.246970868288411,19.9986,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb",Jon Favreau,"Avi Arad, Kevin Feige",Ramin Djawadi,"middle east, kidnapping, superhero, arms dealer, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism, audacious",United States of America,"English, Persian, Urdu, Arabic",0.0,0.0,Released,Heroes aren't born. They're built.,20.18742017795144,18.757152987716434,19.58080863621826,"Title: Iron Man
Year: 2008
Universe: MCU
MCU Phase: Phase 1
Type: movie
Rated: PG-13
Runtime: 126 minutes
Genre: Action, Adventure, Sci-Fi
Director: Jon Favreau
Writer: Mark Fergus, Hawk Ostby, Art Marcum
Cast: Robert Downey Jr., Gwyneth Paltrow, Terrence Howard
Top 5 Cast: Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb
Plot: After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.
Tagline: Heroes aren't born. They're built.
Keywords: middle east, kidnapping, superhero, arms dealer, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism, audacious
IMDb Rating: 7.9
Rotten Tomatoes: 94%
Metacritic: 79/100
TMDB Rating: 7.662
Box Office: 319034126
Budget: 140000000
Revenue: 585174222
Awards: Nominated for 2 Oscars. 24 wins & 73 nominations total
Collection: Iron Man Collection
Country: United States, Canada
Language: English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian",15.0,Robert Downey Jr.,7.9,7.9,9.4,7.662
38,The Incredible Hulk,2008,movie,PG-13,112.0,"Action, Adventure, Sci-Fi",Louis Leterrier,"Zak Penn, Stan Lee, Jack Kirby","Edward Norton, Liv Tyler, Tim Roth","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","English, Portuguese, Spanish","United States, Canada, Japan",4 wins & 10 nominations total,6.6,13.242124899010426,68.0,61.0,Phase 1,MCU,2000s,17,0,0,1,"Science Fiction, Action, Adventure",6.244,9.451245252869034,12.6732,"Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson",Louis Leterrier,"Gale Anne Hurd, Kevin Feige, Avi Arad",Craig Armstrong,"new york city, rio de janeiro, superhero, based on comic, fugitive, on the run, super soldier, scientist, virginia, military",United States of America,"Portuguese, Spanish, English",0.0,0.0,Released,You'll like him when he's angry.,19.394375848082884,18.826145858727198,18.71935404592834,"Title: The Incredible Hulk
Year: 2008
Universe: MCU
MCU Phase: Phase 1
Type: movie
Rated: PG-13
Runtime: 112 minutes
Genre: Action, Adventure, Sci-Fi
Director: Louis Leterrier
Writer: Zak Penn, Stan Lee, Jack Kirby
Cast: Edward Norton, Liv Tyler, Tim Roth
Top 5 Cast: Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson
Plot: Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.
Tagline: You'll like him when he's angry.
Keywords: new york city, rio de janeiro, superhero, based on comic, fugitive, on the run, super soldier, scientist, virginia, military
IMDb Rating: 6.6
Rotten Tomatoes: 68%
Metacritic: 61/100
TMDB Rating: 6.244
Box Office: 134806913
Budget: 150000000
Revenue: 264770996
Awards: 4 wins & 10 nominations total
Collection: N/A
Country: United States, Canada, Japan
Language: English, Portuguese, Spanish",15.0,Edward Norton,6.6,6.1,6.8,6.244
39,Punisher: War Zone,2008,movie,R,103.0,"Action, Crime, Drama",Lexi Alexander,"Nick Santora, Art Marcum, Matt Holloway","Ray Stevenson, Dominic West, Julie Benz","Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",English,"United States, Canada, Germany",1 win & 1 nomination total,5.9,11.160114474908951,29.0,30.0,Non-MCU,MCU,2000s,17,0,0,1,"Action, Crime",5.877,7.1853870155804165,4.5541,"Ray Stevenson, Dominic West, Julie Benz, Colin Salmon, Doug Hutchison",Lexi Alexander,Gale Anne Hurd,Michael Wandmacher,"superhero, based on comic, sequel, broken neck, military uniform, wall safe, trashed house, vanity, flare, woman director","Canada, Germany, United States of America","Russian, English",0.0,0.0,Released,Vengeance has a name.,16.12699334877976,16.835935492889124,15.90130413269858,"Title: Punisher: War Zone
Year: 2008
Universe: MCU
MCU Phase: Non-MCU
Type: movie
Rated: R
Runtime: 103 minutes
Genre: Action, Crime, Drama
Director: Lexi Alexander
Writer: Nick Santora, Art Marcum, Matt Holloway
Cast: Ray Stevenson, Dominic West, Julie Benz
Top 5 Cast: Ray Stevenson, Dominic West, Julie Benz, Colin Salmon, Doug Hutchison
Plot: Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.
Tagline: Vengeance has a name.
Keywords: superhero, based on comic, sequel, broken neck, military uniform, wall safe, trashed house, vanity, flare, woman director
IMDb Rating: 5.9
Rotten Tomatoes: 29%
Metacritic: 30/100
TMDB Rating: 5.877
Box Office: 8050977
Budget: 20500000
Revenue: 10089373
Awards: 1 win & 1 nomination total
Collection: The Punisher Collection
Country: United States, Canada, Germany
Language: English",15.0,Ray Stevenson,5.9,3.0,2.9,5.877
40,Wolverine and the X-Men (TV Series),2008,Unknown,Unknown,117.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.75,12.664111228245407,76.0,64.0,Non-MCU,MCU,2000s,17,0,0,1,Unknown,6.745,8.745921121024347,8.1973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Wolverine and the X-Men (TV Series)
Year: 2008
Universe: MCU
MCU Phase: Non-MCU
Type: N/A
Rated: nan
Runtime: nan minutes
Genre: nan
Director: nan
Writer: nan
Cast: nan
Top 5 Cast: nan
Plot: nan
Tagline: nan
Keywords: nan
IMDb Rating: nan
Rotten Tomatoes: nan
Metacritic: nan
TMDB Rating: nan
Box Office: nan
Budget: nan
Revenue: nan
Awards: nan
Collection: nan
Country: nan
Language: nan",0.0,Unknown,6.564705882352942,6.004166666666666,6.603846153846154,6.554427350427351
41,X-Men Origins: Wolverine,2009,movie,PG-13,107.0,"Action, Sci-Fi",Gavin Hood,"David Benioff, Skip Woods","Hugh Jackman, Liev Schreiber, Ryan Reynolds","The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",English,"United States, United Kingdom",3 wins & 21 nominations total,6.5,13.24836851871938,37.0,40.0,Non-MCU,Fox / X-Men,2000s,16,0,0,0,"Adventure, Action, Science Fiction",6.292,9.329367078397823,0.7557,"Hugh Jackman, Liev Schreiber, Danny Huston, Lynn Collins, Kevin Durand",Gavin Hood,"Lauren Shuler Donner, Hugh Jackman, Bryan Singer",Harry Gregson-Williams,"army, corruption, superhero, mutant, boxer, based on comic, prequel, spin off, aftercreditsstinger, duringcreditsstinger",United States of America,English,0.0,0.0,Released,Witness the origin.,19.737257502281004,18.826145858727198,19.007818075861216,"Title: X-Men Origins: Wolverine
Year: 2009
Universe: Fox / X-Men
MCU Phase: Non-MCU
Type: movie
Rated: PG-13
Runtime: 107 minutes
Genre: Action, Sci-Fi
Director: Gavin Hood
Writer: David Benioff, Skip Woods
Cast: Hugh Jackman, Liev Schreiber, Ryan Reynolds
Top 5 Cast: Hugh Jackman, Liev Schreiber, Danny Huston, Lynn Collins, Kevin Durand
Plot: The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.
Tagline: Witness the origin.
Keywords: army, corruption, superhero, mutant, boxer, based on comic, prequel, spin off, aftercreditsstinger, duringcreditsstinger
IMDb Rating: 6.5
Rotten Tomatoes: 37%
Metacritic: 40/100
TMDB Rating: 6.292
Box Office: 179883157
Budget: 150000000
Revenue: 373062864
Awards: 3 wins & 21 nominations total
Collection: The Wolverine Collection
Country: United States, United Kingdom
Language: English",15.0,Hugh Jackman,6.5,4.0,3.7,6.292
42,Iron Man 2,2010,movie,PG-13,124.0,"Action, Sci-Fi",Jon Favreau,"Justin Theroux, Stan Lee, Don Heck","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","English, French, Russian",United States,Nominated for 1 Oscar. 7 wins & 45 nominations total,6.9,13.749981679918484,72.0,57.0,Phase 1,MCU,2010s,15,0,0,1,"Adventure, Action, Science Fiction",6.855,10.018065457243564,22.5986,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",Jon Favreau,Kevin Feige,John Debney,"technology, superhero, malibu, based on comic, sequel, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out",United States of America,"English, Russian, French",0.0,0.0,Released,"It's not the armor that makes the hero, but the man inside.",20.25155408088234,19.11382792951231,19.559901666781027,"Title: Iron Man 2
Year: 2010
Universe: MCU
MCU Phase: Phase 1
Type: movie
Rated: PG-13
Runtime: 124 minutes
Genre: Action, Sci-Fi
Director: Jon Favreau
Writer: Justin Theroux, Stan Lee, Don Heck
Cast: Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow
Top 5 Cast: Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell
Plot: With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.
Tagline: It's not the armor that makes the hero, but the man inside.
Keywords: technology, superhero, malibu, based on comic, sequel, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out
IMDb Rating: 6.9
Rotten Tomatoes: 72%
Metacritic: 57/100
TMDB Rating: 6.855
Box Office: 312433331
Budget: 200000000
Revenue: 623933331
Awards: Nominated for 1 Oscar. 7 wins & 45 nominations total
Collection: Iron Man Collection
Country: United States
Language: English, French, Russian",15.0,Robert Downey Jr.,6.9,5.699999999999999,7.2,6.855
43,Marvel Anime: Iron Man (TV Series),2010,Unknown,Unknown,117.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.75,12.664111228245407,76.0,64.0,Non-MCU,MCU,2010s,15,1,0,1,Unknown,6.745,8.745921121024347,8.1973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Marvel Anime: Iron Man (TV Series)
Year: 2010
Universe: MCU
MCU Phase: Non-MCU
Type: N/A
Rated: nan
Runtime: nan minutes
Genre: nan
Director: nan
Writer: nan
Cast: nan
Top 5 Cast: nan
Plot: nan
Tagline: nan
Keywords: nan
IMDb Rating: nan
Rotten Tomatoes: nan
Metacritic: nan
TMDB Rating: nan
Box Office: nan
Budget: nan
Revenue: nan
Awards: nan
Collection: nan
Country: nan
Language: nan",0.0,Unknown,6.564705882352942,6.004166666666666,6.603846153846154,6.554427350427351
44,Thor,2011,movie,PG-13,115.0,"Action, Fantasy",Kenneth Branagh,"Ashley E. Miller, Zack Stentz, Don Payne","Chris Hemsworth, Anthony Hopkins, Natalie Portman","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",English,"United States, France",5 wins & 30 nominations total,7.0,13.778792630229052,77.0,57.0,Phase 1,MCU,2010s,14,0,0,1,"Adventure, Fantasy, Action",6.771,10.015878298115155,12.2584,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård",Kenneth Branagh,Kevin Feige,Patrick Doyle,"new mexico, superhero, redemption, banishment, based on comic, brother against brother, norse mythology, aftercreditsstinger, marvel cinematic universe (mcu), worlds collide",United States of America,English,0.0,0.0,Released,Courage is immortal.,19.923260617778432,18.826145858727198,19.014176773812608,"Title: Thor
Year: 2011
Universe: MCU
MCU Phase: Phase 1
Type: movie
Rated: PG-13
Runtime: 115 minutes
Genre: Action, Fantasy
Director: Kenneth Branagh
Writer: Ashley E. Miller, Zack Stentz, Don Payne
Cast: Chris Hemsworth, Anthony Hopkins, Natalie Portman
Top 5 Cast: Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård
Plot: The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.
Tagline: Courage is immortal.
Keywords: new mexico, superhero, redemption, banishment, based on comic, brother against brother, norse mythology, aftercreditsstinger, marvel cinematic universe (mcu), worlds collide
IMDb Rating: 7.0
Rotten Tomatoes: 77%
Metacritic: 57/100
TMDB Rating: 6.771
Box Office: 181030624
Budget: 150000000
Revenue: 449326618
Awards: 5 wins & 30 nominations total
Collection: Thor Collection
Country: United States, France
Language: English",15.0,Chris Hemsworth,7.0,5.699999999999999,7.7,6.771
